block,cluster,parallel_rear_score,parallel_rear_unique_innovation_count,parallel_rear_all_innovations_count
170,0,0.20484588999999995,1,10
533,1,0.17025131000000002,2,11
347,1,0.16766441999999998,1,9
346,1,0.16766441999999998,1,9
345,1,0.16766441999999998,1,9
344,1,0.16766441999999998,1,9
343,1,0.16766441999999998,1,9
342,1,0.16766441999999998,1,9
341,1,0.16766441999999998,1,9
348,2,0.1579658,1,9
376,3,0.14564990999999997,2,11
119,4,0.14024925,2,11
132,5,0.13819880999999998,2,10
280,6,0.13603228,2,12
279,7,0.13603228,2,12
278,6,0.13603228,2,12
532,8,0.13312658,1,8
588,9,0.12815569000000002,1,8
139,10,0.12580464000000002,2,11
94,11,0.12227392,4,16
601,12,0.11814167000000002,1,8
433,6,0.11180192,2,11
326,13,0.11155407,2,11
112,14,0.1100599,1,7
327,15,0.10906627999999999,1,7
200,16,0.10832889999999999,1,7
95,12,0.10591423999999999,1,8
525,17,0.10440974000000001,2,11
188,18,0.10179237000000001,3,11
539,19,0.10111189999999998,1,7
542,20,0.10061976000000004,1,7
551,21,0.10024014,1,7
546,22,0.0988176,1,7
190,23,0.09845457000000002,2,10
486,24,0.09830124000000001,2,10
545,25,0.09779484000000004,1,7
563,26,0.09764034000000002,1,7
281,27,0.09572293,2,9
465,28,0.09477793999999999,1,7
415,29,0.09423023,3,13
527,30,0.09087540000000001,2,10
40,1,0.08898562000000002,2,9
52,31,0.08380613,3,11
216,32,0.08310688000000001,3,11
552,33,0.07855036,2,9
526,34,0.07828921999999999,2,9
27,24,0.07703431999999999,2,9
431,35,0.07617096,2,9
379,36,0.07395242,1,6
524,17,0.07358743999999999,1,6
310,37,0.07322397,1,6
522,38,0.07142215,1,6
538,8,0.07140980000000001,1,6
615,14,0.069504,1,6
595,39,0.06895002000000001,1,6
553,21,0.06798417999999999,1,6
548,21,0.06798417999999999,1,6
547,21,0.06798417999999999,1,6
537,8,0.06795098,1,6
540,40,0.06744629,1,6
593,39,0.06670382000000001,1,6
126,41,0.06553427,3,11
266,42,0.06551480999999999,4,12
195,43,0.06174863,2,9
618,44,0.05767966,1,5
254,45,0.05705649,2,8
207,46,0.054684769999999994,2,7
51,14,0.0542284,1,5
268,47,0.0539751,2,7
69,48,0.05176332,1,5
185,49,0.05124465,2,7
544,25,0.04902966,2,8
47,50,0.04899752,2,7
549,21,0.04681653,2,7
530,51,0.046499740000000005,1,5
535,52,0.046442489999999996,2,7
408,53,0.046161759999999996,1,5
351,36,0.04602972,1,5
228,14,0.04576300000000001,1,5
523,20,0.045376900000000005,1,5
536,54,0.04528874,1,5
529,20,0.04526342,1,5
554,21,0.04513994,1,5
557,21,0.04512382000000001,1,5
317,48,0.045005079999999996,1,5
472,55,0.04375,1,5
531,56,0.042136849999999997,2,7
550,21,0.03997261999999999,2,7
559,57,0.03684606,2,7
222,14,0.03534159,1,4
96,14,0.03534159,1,4
638,58,0.03412872,1,4
632,58,0.03412872,1,4
686,59,0.03408165,1,4
631,58,0.03352557,2,6
543,25,0.033495660000000003,2,8
153,14,0.03318475,1,4
534,60,0.03307566,1,4
612,61,0.032831559999999996,1,4
364,62,0.028948239999999997,1,4
560,63,0.02808054,1,4
277,64,0.0272643,1,4
199,48,0.02700972,1,4
198,65,0.02700972,1,4
197,48,0.02700972,1,4
555,21,0.026244359999999998,1,4
605,58,0.02245958,2,6
496,66,0.020060679999999997,1,3
617,14,0.01963914,1,3
611,67,0.01963914,1,3
610,67,0.01963914,1,3
194,68,0.0191785,2,5
324,69,0.018674559999999996,2,5
390,60,0.016665720000000002,1,3
389,60,0.016665720000000002,1,3
647,59,0.016309360000000002,1,3
558,59,0.016296740000000004,1,3
636,70,0.0160877,1,3
624,71,0.015961839999999998,1,3
597,72,0.01575518,1,3
633,61,0.01575218,1,3
682,73,0.01572338,1,3
508,74,0.01571496,1,3
608,75,0.01553536,1,4
653,70,0.0153706,1,3
639,70,0.01530642,1,3
637,70,0.01530642,1,3
630,63,0.01530642,1,3
235,76,0.01530642,1,3
234,48,0.01530642,1,3
227,48,0.01530642,1,3
226,48,0.01530642,1,3
225,48,0.01530642,1,3
224,48,0.01530642,1,3
223,48,0.01530642,1,3
196,48,0.01530642,1,3
369,60,0.014845800000000001,1,3
366,60,0.014845800000000001,1,3
649,73,0.01483478,1,3
651,63,0.014807460000000001,1,3
629,63,0.01474328,1,3
370,77,0.0145787,1,3
528,38,0.014540079999999999,1,3
372,52,0.01421934,1,3
556,21,0.012701800000000001,1,3
627,78,0.01249792,1,3
620,78,0.01249792,1,3
403,64,0.01249792,1,3
623,71,0.012460659999999998,1,3
598,79,0.010860400000000001,1,3
671,80,0.01064022,2,4
455,81,0.00974443,2,4
616,14,0.00732475,1,2
614,14,0.00732475,1,2
685,59,0.007282780000000001,1,2
684,59,0.007282780000000001,1,2
683,73,0.007282780000000001,1,2
680,59,0.007282780000000001,1,2
365,60,0.007282780000000001,1,2
645,73,0.00727007,1,2
644,73,0.00727007,1,2
607,82,0.0072358000000000006,1,2
695,59,0.00713811,1,2
602,54,0.0071126,1,2
603,83,0.007107509999999999,1,2
619,75,0.007020220000000001,1,3
652,59,0.00663522,1,2
640,70,0.00660469,1,2
634,70,0.00660469,1,2
642,63,0.00660313,1,2
635,70,0.00657749,1,2
625,77,0.00653886,1,2
696,61,0.00592203,1,2
599,72,0.00575936,1,2
110,84,0.005642350000000001,1,2
650,79,0.00562269,1,2
648,79,0.00562269,1,2
562,61,0.0054867200000000005,1,2
600,72,0.00534403,1,2
596,72,0.00534403,1,2
592,54,0.00534403,1,2
270,85,0.00534403,1,2
269,85,0.00534403,1,2
668,71,0.00412535,1,2
626,78,0.00412535,1,2
621,78,0.00412535,1,2
669,80,0.00370928,1,2
664,79,0.00363761,1,2
391,36,0.0036211399999999997,1,2
606,82,0.00362033,1,2
334,36,0.0036141700000000003,1,2
659,79,0.0035962800000000003,1,2
654,79,0.0035962800000000003,1,2
93,84,0.00359379,1,2
690,77,0.0035692400000000004,1,2
679,75,0.003526,1,2
688,77,0.0034741000000000004,1,2
687,77,0.0034741000000000004,1,2
426,81,0.0034589000000000004,1,2
670,80,0.0033760699999999997,1,2
661,79,0.0031304500000000003,1,2
590,86,0.00288411,1,2
589,86,0.0028093500000000004,1,2
541,86,0.00279146,1,2
698,67,0.0013711399999999999,1,2
681,73,0.00134742,1,2
604,59,0.0008890300000000001,1,2
5,87,0.0008843500000000001,1,2
613,61,8.587e-05,1,2
646,59,5.491e-05,1,2
