,gene
0,aegA
1,fdhF
2,cutA
3,aspA
4,fxsA
5,groL
6,epmB
7,efp
9,frdD
10,frdC
11,frdA
12,epmA
13,mscM
14,psd
15,rsgA
16,orn
17,queG
18,nnr
19,tsaE
20,amiB
21,mutL
22,miaA
23,hfq
24,hflX
25,hflK
26,hflC
27,nsrR
28,rnr
29,rlmB
30,bsmA
31,ptsP
32,lsrG
33,lsrF
34,lsrB
35,lsrD
36,lsrC
37,lsrA
38,lsrR
39,lsrK
40,rfaQ
41,rsmC
42,rimI
43,prfC
44,osmY
45,deoC
47,deoB
48,deoD
49,serB
50,radA
51,nadR
52,dppB
53,dppC
54,dppD
55,bcsZ
56,hmsP
57,pdeH
58,yhjD
59,yapE
60,gorA
61,prlC
62,rsmJ
63,gdhA
64,uspA
65,uspB
66,pitA
67,gntR
68,gntT
69,asd
70,glgB
71,glgX
72,glgC
73,glgA
74,glgP
75,glpD
76,rsmI
77,diaA
78,yraP
79,mtgA
80,elbB
81,arcB
82,gltB
83,sspB
84,sspA
85,rpsI
86,rplM
87,degQ
88,degS
89,murA
90,ibaG
91,mlaB
92,mlaC
93,mlaD
94,mlaE
95,mlaF
96,kdsD
97,kdsC
98,lptC
99,lptA
100,lptB
101,rpoN
102,hpf
103,ptsN
104,rapZ
105,npr
106,pyrB
107,ridA
108,treR
109,treB
110,treC
111,rnk
112,cybC
113,pmbA
114,aaeB
115,aaeA
116,aaeR
117,tldD
118,rng
119,mreD
120,mreC
122,csrD
123,msrP
124,msrQ
125,aroQ
126,accB
127,accC
128,panF
129,prmA
130,dusB
131,fis
132,cspA
133,yghU
134,lpxP
135,ssuB
139,rbsD
140,tuf
141,secE
142,nusG
143,rplK
144,rplA
145,rplJ
146,rplL
147,rpoB
148,rpoC
149,thiH
150,thiS
151,thiE
152,thiC
153,rsd
154,nudC
155,hemE
156,nfi
157,hupA
158,purD
159,purH
160,tssC
161,tssF
162,tssG
163,tssH
164,vgrG
165,tssJ
166,tssK
167,tssM
168,rapA
169,thiQ
170,thiP
172,leuD
173,leuC
174,leuB
175,leuA
176,leuO
177,ilvI
178,ilvN
179,cra
180,mraZ
181,rsmH
182,ftsL
183,murE
184,murF
185,mraY
186,murD
187,ftsW
188,murG
189,murC
190,ftsQ
191,ftsA
192,ftsZ
193,lpxC
194,secM
195,secA
196,mutT
197,metA
198,aceB
199,aceA
200,aceK
201,iclR
202,metH
203,lysC
204,pgi
205,psiE
206,malG
207,malF
208,malE
209,malK
210,malM
211,tssB
212,tssE
213,rpsO
214,truB
215,rbfA
216,infB
217,nusA
218,rimP
219,secG
220,glmM
221,folP
222,ftsH
223,rlmE
224,yhbY
225,greA
226,dacB
227,pmrA
228,pmrB
229,cgtA
230,rpmA
231,rplU
232,ispB
233,mdh
234,argR
235,yhcN
236,mpl
237,fbp
238,ppa
239,msrA
240,cysQ
241,ytfE
242,rplI
243,rpsR
244,priB
245,rpsF
246,yjfP
247,ppc
248,argE
249,argC
250,argB
251,argH
252,oxyR
253,sthA
254,fabR
255,trmA
256,btuB
257,murI
258,yjfF
259,hdfR
260,ilvL
261,ilvM
262,ilvD
263,ilvA
264,ilvY
265,ilvC
266,stbD
267,rep
269,rhlB
