block,species,chr,chr_beg,chr_end,orientation
698,NZ_CP064124.1,1,227429,229384,+
698,NC_017265.1,1,1765345,1767285,+
697,NC_008120.1,1,74639,75951,+
697,NZ_CP009904.1,1,19373,20685,+
696,NZ_CP009906.1,1,4568560,4569591,+
696,NZ_CP009704.1,1,305054,306083,+
695,NZ_CP009906.1,1,1887757,1888808,+
695,NZ_CP006748.1,1,2601788,2602831,-
694,NC_010159.1,1,2270636,2271951,+
694,NC_010159.1,1,2703347,2704662,-
693,NC_010159.1,1,2012774,2013780,+
693,NC_010159.1,1,3019342,3020347,-
693,NC_010158.1,1,77410,78427,+
692,NC_010159.1,1,1493894,1494899,+
692,NC_010159.1,1,3550850,3551855,+
691,NC_010159.1,1,1361095,1362112,+
691,NC_010159.1,1,3610837,3611842,+
690,NC_010159.1,1,929760,931199,+
690,NZ_CP064124.1,1,3877856,3879294,+
689,NC_010159.1,1,470957,472909,+
689,NC_010159.1,1,2251529,2253487,-
688,NZ_CP045149.1,1,4493513,4494816,+
688,NZ_CP064124.1,1,2349676,2350989,+
687,NZ_CP045149.1,1,3500060,3501374,+
687,NC_010159.1,1,902710,904023,+
687,NC_010159.1,1,2611263,2612579,+
687,NZ_CP064124.1,1,2959128,2960430,+
686,NZ_CP009844.1,1,977882,979933,+
686,NZ_CP009906.1,1,2335801,2337853,-
686,NZ_CP006748.1,1,3140586,3142637,-
686,NZ_CP009704.1,1,1978418,1980469,-
685,NC_008150.1,1,4613165,4615104,+
685,NZ_CP009906.1,1,2442023,2443963,-
684,NC_008150.1,1,3605797,3608445,+
684,NZ_CP009906.1,1,1994378,1997026,+
683,NC_008150.1,1,2657949,2659901,+
683,NZ_CP009906.1,1,1044954,1046906,+
682,NC_008150.1,1,2099003,2100953,+
682,NZ_CP009906.1,1,485997,487948,+
682,NZ_CP064124.1,1,4394622,4396573,-
681,NC_008150.1,1,1872456,1874408,+
681,NZ_CP064124.1,1,3273503,3275455,+
680,NC_008150.1,1,200929,203579,+
680,NZ_CP009906.1,1,3296184,3298834,+
679,NC_014029.1,1,861362,862828,+
679,NZ_CP045149.1,1,3501901,3503364,+
678,NZ_CP006746.1,1,129976,137017,+
678,NZ_CP010248.1,1,98976,106017,+
677,NZ_CP006746.1,1,88520,90214,+
677,NC_005815.1,1,41340,43034,+
677,NC_010158.1,1,23145,24738,+
677,NZ_CP010248.1,1,57521,59215,+
676,NZ_CP006746.1,1,85582,88518,+
676,NC_005815.1,1,38403,41338,+
676,NC_010158.1,1,37156,40093,-
676,NZ_CP010248.1,1,54583,57519,+
675,NZ_CP006746.1,1,46106,48045,+
675,NZ_CP010248.1,1,15107,17046,+
674,NZ_CP006746.1,1,13170,25584,+
674,NZ_CP010248.1,1,119188,131602,+
673,NZ_CP006746.1,1,1,11848,+
673,NZ_CP010248.1,1,106019,117866,+
672,NZ_CP006792.1,1,4247902,4248955,+
672,NZ_CP009904.1,1,8667,9721,+
671,NZ_CP006792.1,1,2379847,2381793,+
671,NC_008150.1,1,694796,696751,-
671,NC_008150.1,1,2494447,2496399,-
671,NC_010159.1,1,2803149,2805088,+
671,NZ_CP009906.1,1,881434,883386,-
671,NZ_CP009906.1,1,3790028,3791983,-
671,NC_017158.1,1,54223,56174,+
671,NZ_CP045163.1,1,793158,795102,-
670,NZ_CP006792.1,1,2139872,2141797,+
670,NZ_CP045163.1,1,1031144,1033069,-
669,NZ_CP006792.1,1,1441777,1443731,+
